,CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BQ01_01,BQ01_02,BQ01_03,BQ01_04,BQ01_05,BQ02_01,BQ02_02,BQ02_03,BQ02_04,BQ02_05,BQ03_01,BQ03_02,BQ03_03,BQ03_04,BQ03_05,EQ01_01,EQ01_02,EQ01_03,EQ01_04,EQ01_05,EQ02_01,EQ02_02,EQ02_03,EQ02_04,EQ02_05,EQ03_01,EQ03_02,EQ03_03,EQ03_04,EQ03_05,F101_01,F101_02,F101_03,F101_04,F101_05,F102_01,F102_02,F102_03,G101_CP,G101,G103_CP,G103x01,G103x02,G103x03,GQ01_01,GQ01_02,GQ01_03,GQ01_04,GQ02_01,GQ02_02,GQ02_03,GQ02_04,GQ03_01,GQ03_02,GQ03_03,GQ03_04,P101,P102,P103,P104_01,P104_02,P104_03,P104_04,P109_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
1,25,,,base,interview,2024-11-21 16:16:34,2,5,1,3,5,2,5,1,2,5,1,5,1,1,5,3,4,5,5,4,3,4,4,5,5,3,4,4,5,3,4,4,1,3,1,no,the user interface needs to be much more friendly,"Some of the evidence wasnt highlighted when it should have been.

This could lead to further ineqwualities as it is based on inequalities already found in medical data. For example the condition POTS affect predominatley women at a ratio of 4:1. This sort of AI, would mean that a man with POTS is less likley to get diagnosed. ",0,2,0,3,2,1,4,3,4,5,3,4,4,4,1,1,3,1,2,2,6,5,4,3,4,5980f157413c230001291b22,7,23,16,171,135,129,169,650,,2024-11-21 16:27:25,finished,1,0,7,7,0,0,1.27
4,28,,,base,interview,2024-11-21 16:19:26,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,4,5,5,4,4,2,4,4,4,No it was very clear and understandable ,No,No it was very informative ,1,1,3,2,3,1,5,5,5,5,5,5,5,5,4,5,5,5,1,2,5,5,2,3,2,5bddad5e3dad0a0001e2d79b,2,29,33,123,71,50,47,355,,2024-11-21 16:25:20,finished,1,0,7,7,0,0,1.75
5,29,,,base,interview,2024-11-21 16:19:28,2,3,4,5,5,3,4,4,3,5,3,4,3,3,5,4,3,4,5,4,4,3,4,5,4,4,4,3,5,4,3,4,3,2,3,no,no,no,2,2,4,1,2,3,4,5,4,4,3,4,3,3,4,3,4,4,1,2,5,5,1,2,1,5ca9106716aa84001725d880,2,37,57,293,43,185,17,634,,2024-11-21 16:30:03,finished,1,0,7,7,0,0,1.69
6,30,,,base,interview,2024-11-21 16:19:55,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No.,,No.,2,1,5,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,5,5,601958c0af6453017a0cbbd4,10,37,47,257,38,46,50,485,,2024-11-21 16:28:00,finished,1,0,7,7,0,0,1.45
8,32,,,base,interview,2024-11-21 16:22:09,4,4,3,3,5,4,4,3,3,5,4,4,3,3,5,4,5,5,5,5,4,4,5,5,4,3,4,4,5,4,5,4,4,4,4,"No, it was all clear.",Maybe a bit more variation in the blue shading. It was either very intense or very pale for the oval areas.,"On the example of the elderly man with throat problems, I don't know why the thyroid pain area box didn't light up a darker blue for the bronchitis diagnosis? I was a bit confused about that.",3,2,7,3,2,1,4,4,4,4,4,4,5,4,3,3,4,4,1,3,8,5,3,2,2,59e71b497f3d71000171ddb8,7,36,42,306,199,225,181,996,,2024-11-21 16:38:47,finished,1,0,7,7,0,0,0.84
9,33,,,base,interview,2024-11-21 16:22:42,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,3,3,3,5,5,4,5,2,2,4,4,"No, very clear and easy to understand.",No,It was a good survey,4,1,8,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,5,2,2,1,6671377aeb1efddfb126dc78,154,75,8,1236,32,34,39,439,,2024-11-21 16:48:59,finished,1,0,7,7,0,0,1.59
10,34,,,base,interview,2024-11-21 16:22:57,4,5,4,4,5,5,4,4,5,5,3,4,3,4,5,5,4,3,5,4,5,4,4,5,5,4,3,4,5,4,4,3,4,4,4,none,none,none,4,2,9,1,3,2,5,4,5,4,5,4,4,5,5,4,5,4,2,4,5,5,5,4,5,636ac91e053af9563ef87d92,61,258,8,131,112,140,359,553,,2024-11-21 16:40:46,finished,1,0,7,7,0,0,1.03
12,36,,,base,interview,2024-11-21 16:24:06,5,5,5,5,5,4,5,4,4,5,5,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,4,4,5,4,4,3,5,5,5,"The instructions were clear and I have to say the charts were onteresting to look at, very informative I must say.",I thought the graphs and charts were okay.,No.,5,1,11,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,6,5,1,4,4,6737cd5c9d4c58c971233296,13,59,101,721,368,76,97,952,,2024-11-21 16:48:01,finished,1,0,7,7,0,0,0.64
14,38,,,base,interview,2024-11-21 16:25:32,3,4,3,3,5,3,4,2,3,5,3,4,2,2,5,4,2,4,5,3,3,2,4,5,3,4,3,4,5,3,5,3,2,4,3,No,No,No,6,2,13,1,3,2,4,4,4,3,4,3,4,4,3,2,4,3,2,4,2,5,3,4,2,67139877798808e031870452,21,56,33,574,180,149,65,1078,,2024-11-21 16:43:31,finished,1,0,7,7,0,0,0.71
15,39,,,base,interview,2024-11-21 16:25:33,3,4,4,4,5,4,4,3,4,5,4,5,4,4,5,3,3,4,5,4,3,4,4,5,4,4,4,5,5,4,4,4,5,4,4,no,no,no,7,1,14,1,3,2,4,5,5,5,4,4,5,4,5,4,4,5,1,2,4,5,4,4,4,5fc00cb9ca26eb418a61c8b5,58,37,4,127,145,46,68,485,,2024-11-21 16:33:39,finished,1,0,7,7,0,0,1.43
